,road_damage_synthetic_data,,,,,,,,,,,,,,,
,5739,crack,1.2,0,6.56,highway,low,rainy,full_depth_repair,asphalt,893,2922,592,4407,6,Tata Projects
,5740,pothole,1.06,18,0.0,urban,high,dry,patching,bitumen,1332,5080,1714,8126,3,NCC Limited
,5741,pothole,0.91,7,0.0,highway,low,dry,cold_mix,bitumen,590,2193,606,3389,1,JMC Projects
,5742,pothole,3.91,11,0.0,urban,medium,rainy,full_depth_repair,bitumen,4210,10000,2211,16421,10,Tata Projects
,5743,pothole,1.22,5,0.0,urban,high,dry,patching,bitumen,1900,5887,1525,9312,3,KNR Constructions
,5744,crack,2.68,0,1.27,urban,very_high,dry,full_depth_repair,asphalt,618,2158,956,3732,8,Punj Lloyd
,5745,crack,2.31,0,7.34,highway,high,rainy,cold_mix,bitumen,1915,4638,1645,8198,5,Afcons Infra
,5746,pothole,2.94,20,0.0,rural,medium,dry,cold_mix,gravel,1090,3323,2173,6586,4,Punj Lloyd
,5747,pothole,4.4,20,0.0,urban,very_high,dry,cold_mix,concrete,5000,10000,7000,22000,7,KNR Constructions
,5748,crack,4.35,0,3.38,rural,medium,humid,patching,concrete,617,2276,1214,4107,8,Sadbhav Engineering
,5749,crack,2.31,0,4.67,highway,medium,humid,resurfacing,bitumen,873,3772,760,5405,5,KNR Constructions
,5750,pothole,0.18,8,0.0,rural,high,dry,cold_mix,concrete,972,2532,388,3892,2,Simplex Infra
,5751,crack,2.19,0,3.64,urban,low,rainy,patching,asphalt,842,1919,839,3600,5,Larsen & Toubro
,5752,crack,3.07,0,6.99,urban,medium,dry,patching,bitumen,640,2488,504,3632,4,Dilip Buildcon
,5753,pothole,2.83,15,0.0,highway,very_high,dry,cold_mix,bitumen,1709,4596,641,6946,5,NCC Limited
,5754,crack,3.29,0,9.09,rural,low,rainy,cold_mix,asphalt,1413,3590,1566,6569,5,HCC
,5755,crack,0.85,0,1.42,highway,medium,humid,cold_mix,bitumen,567,1351,704,2622,2,Dilip Buildcon
,5756,pothole,3.27,5,0.0,rural,low,dry,cold_mix,concrete,2573,6098,2930,11601,5,Shapoorji Pallonji
,5757,pothole,0.99,15,0.0,urban,high,dry,resurfacing,concrete,624,2163,309,3096,3,Punj Lloyd
,5758,crack,3.78,0,3.98,rural,medium,rainy,resurfacing,concrete,830,3128,954,4912,8,HCC
,5759,pothole,1.76,15,0.0,rural,medium,rainy,full_depth_repair,bitumen,1028,3418,643,5089,7,Simplex Infra
,5760,crack,3.58,0,0.8,urban,medium,humid,resurfacing,asphalt,200,553,300,1053,4,Sadbhav Engineering
,5761,pothole,0.33,8,0.0,highway,medium,rainy,full_depth_repair,asphalt,920,2302,1356,4578,5,NCC Limited
,5762,crack,2.1,0,6.72,rural,high,dry,full_depth_repair,concrete,1176,2950,962,5088,6,Ramky Infra
,5763,pothole,3.55,19,0.0,rural,medium,dry,patching,concrete,2177,6724,1831,10732,4,KNR Constructions
,5764,crack,1.21,0,0.59,urban,low,dry,resurfacing,bitumen,241,790,300,1331,2,Shapoorji Pallonji
,5765,crack,4.0,0,8.34,urban,high,dry,resurfacing,asphalt,1564,3175,1581,6320,8,Afcons Infra
,5766,crack,3.19,0,3.17,rural,low,dry,resurfacing,asphalt,839,1790,731,3360,3,HCC
,5767,pothole,2.98,1,0.0,rural,high,dry,patching,concrete,1314,3716,549,5579,4,JMC Projects
,5768,pothole,1.83,4,0.0,urban,medium,dry,full_depth_repair,bitumen,711,2265,646,3622,4,Simplex Infra
,5769,crack,2.46,0,1.86,urban,high,humid,resurfacing,asphalt,965,2457,553,3975,6,Gammon India
,5770,crack,3.03,0,7.77,rural,medium,dry,cold_mix,concrete,1004,3414,973,5391,3,NCC Limited
,5771,pothole,2.42,5,0.0,highway,high,humid,patching,bitumen,1185,5048,1649,7882,4,Ramky Infra
,5772,pothole,3.52,20,0.0,urban,high,dry,patching,asphalt,4260,10000,5006,19266,6,Larsen & Toubro
,5773,pothole,2.23,8,0.0,rural,high,humid,patching,gravel,1255,4165,2573,7993,4,Ramky Infra
,5774,pothole,1.09,17,0.0,urban,high,dry,patching,bitumen,1820,5860,2687,10367,3,Punj Lloyd
,5775,pothole,1.15,1,0.0,rural,high,dry,full_depth_repair,concrete,2025,5719,2863,10607,5,GMR Infra
,5776,pothole,0.13,18,0.0,rural,medium,dry,full_depth_repair,asphalt,407,1017,300,1724,3,HCC
,5777,crack,1.57,0,6.91,urban,medium,dry,resurfacing,bitumen,979,2068,1044,4091,3,Ramky Infra
,5778,pothole,3.77,20,0.0,rural,high,dry,resurfacing,concrete,2979,10000,3594,16573,7,Shapoorji Pallonji
,5779,crack,3.99,0,0.92,urban,high,rainy,patching,gravel,341,1048,300,1689,7,NCC Limited
,5780,pothole,1.09,18,0.0,urban,medium,rainy,cold_mix,concrete,2067,6233,2650,10950,4,Afcons Infra
,5781,pothole,4.8,10,0.0,rural,medium,humid,full_depth_repair,bitumen,1761,6284,1555,9600,10,IRB Infrastructure
,5782,crack,2.56,0,2.24,rural,medium,humid,patching,bitumen,371,1098,300,1769,4,Tata Projects
,5783,crack,4.59,0,1.25,highway,medium,rainy,full_depth_repair,asphalt,717,1704,509,2930,8,Simplex Infra
,5784,pothole,3.56,19,0.0,urban,high,humid,patching,bitumen,3114,8993,786,12893,5,Gayatri Projects
,5785,crack,3.64,0,8.85,highway,high,dry,cold_mix,asphalt,1441,5618,2257,9316,4,Dilip Buildcon
,5786,crack,0.52,0,0.87,urban,medium,dry,patching,bitumen,353,936,300,1589,1,Sadbhav Engineering
,5787,crack,1.18,0,0.65,urban,low,dry,patching,gravel,200,500,300,1000,1,HCC
,5788,crack,0.14,0,2.41,rural,low,dry,patching,concrete,361,780,414,1555,1,Larsen & Toubro
,5789,pothole,3.61,14,0.0,rural,medium,rainy,cold_mix,concrete,3227,9799,1413,14439,6,Larsen & Toubro
,5790,crack,1.79,0,8.64,highway,low,humid,resurfacing,concrete,1588,4016,1203,6807,4,Gammon India
,5791,pothole,3.95,12,0.0,rural,high,dry,resurfacing,concrete,2903,7958,2128,12989,6,Sadbhav Engineering
,5792,pothole,1.76,11,0.0,urban,medium,dry,resurfacing,asphalt,1352,5480,1560,8392,4,Dilip Buildcon
,5793,pothole,4.11,11,0.0,highway,medium,dry,patching,concrete,4463,10000,3264,17727,4,Sadbhav Engineering
,5794,pothole,0.74,18,0.0,urban,medium,dry,resurfacing,bitumen,534,2330,546,3410,2,Ashoka Buildcon
,5795,crack,0.95,0,7.16,urban,high,dry,patching,concrete,1814,4473,2060,8347,2,HCC
,5796,crack,1.77,0,9.13,rural,high,dry,full_depth_repair,asphalt,1308,4142,964,6414,6,Afcons Infra
,5797,pothole,2.1,6,0.0,highway,medium,dry,patching,bitumen,1222,3464,641,5327,3,Gayatri Projects
,5798,pothole,1.81,19,0.0,highway,low,humid,full_depth_repair,concrete,1307,3747,1722,6776,6,Shapoorji Pallonji
,5799,pothole,3.84,13,0.0,rural,very_high,dry,patching,bitumen,2845,8338,799,11982,6,Ramky Infra
,5800,pothole,0.58,15,0.0,highway,medium,dry,cold_mix,gravel,568,2023,701,3292,1,Sadbhav Engineering
,5801,crack,1.82,0,4.0,rural,high,humid,cold_mix,asphalt,826,2578,1552,4956,4,Gammon India
,5802,pothole,4.2,2,0.0,highway,medium,rainy,resurfacing,asphalt,4586,10000,5473,20059,10,Punj Lloyd
,5803,crack,0.43,0,4.02,urban,high,rainy,cold_mix,asphalt,998,2907,447,4352,4,Ashoka Buildcon
,5804,pothole,4.72,11,0.0,urban,medium,humid,patching,concrete,3402,9012,4020,16434,5,Punj Lloyd
,5805,pothole,4.93,13,0.0,urban,very_high,dry,cold_mix,concrete,4497,10000,2126,16623,10,NCC Limited
,5806,pothole,0.53,10,0.0,highway,high,dry,cold_mix,gravel,578,1898,474,2950,2,GR Infraprojects
,5807,pothole,1.53,15,0.0,highway,medium,dry,patching,bitumen,2532,6562,1590,10684,2,Megha Engineering
,5808,crack,1.92,0,4.35,rural,medium,rainy,resurfacing,asphalt,678,2162,1418,4258,6,Gayatri Projects
,5809,crack,3.9,0,9.78,urban,low,dry,resurfacing,bitumen,925,2504,1445,4874,7,Gammon India
,5810,crack,3.02,0,0.67,urban,very_high,dry,resurfacing,bitumen,200,500,300,1000,7,Gayatri Projects
,5811,pothole,3.26,11,0.0,highway,low,humid,full_depth_repair,bitumen,1828,6643,1441,9912,8,Ramky Infra
,5812,pothole,3.81,7,0.0,urban,low,dry,resurfacing,bitumen,2858,7792,4018,14668,5,GMR Infra
,5813,crack,0.68,0,5.88,highway,medium,dry,patching,asphalt,1020,2689,684,4393,1,Larsen & Toubro
,5814,crack,4.18,0,0.46,urban,high,dry,resurfacing,concrete,309,896,300,1505,5,KNR Constructions
,5815,pothole,3.56,8,0.0,rural,medium,dry,patching,asphalt,2376,7313,2078,11767,5,GMR Infra
,5816,pothole,2.93,8,0.0,rural,medium,dry,full_depth_repair,asphalt,1235,3861,1109,6205,5,Ramky Infra
,5817,crack,4.46,0,1.93,highway,high,dry,cold_mix,bitumen,553,2160,402,3115,5,Punj Lloyd
,5818,pothole,3.53,2,0.0,rural,high,humid,patching,concrete,4019,9903,2914,16836,6,Punj Lloyd
,5819,pothole,1.09,5,0.0,rural,medium,dry,full_depth_repair,concrete,1735,6158,1378,9271,3,Tata Projects
,5820,crack,2.21,0,9.13,rural,low,dry,full_depth_repair,asphalt,988,3033,510,4531,5,Shapoorji Pallonji
,5821,pothole,2.52,13,0.0,highway,low,dry,cold_mix,bitumen,1443,4964,735,7142,2,HCC
,5822,crack,0.37,0,5.02,rural,medium,dry,patching,bitumen,508,1806,575,2889,1,Shapoorji Pallonji
,5823,pothole,4.78,3,0.0,urban,medium,dry,resurfacing,asphalt,2650,9203,3769,15622,7,Larsen & Toubro
,5824,crack,0.73,0,2.02,rural,medium,dry,full_depth_repair,asphalt,513,1121,459,2093,3,Tata Projects
,5825,pothole,3.52,13,0.0,rural,medium,humid,resurfacing,gravel,2332,7852,2211,12395,7,Ashoka Buildcon
,5826,crack,2.58,0,7.12,highway,medium,dry,patching,bitumen,1592,3876,1395,6863,3,Punj Lloyd
,5827,crack,0.23,0,0.5,urban,high,humid,patching,bitumen,240,653,368,1261,3,Simplex Infra
,5828,crack,4.63,0,0.61,urban,medium,humid,cold_mix,bitumen,200,500,300,1000,6,Gammon India
,5829,crack,4.27,0,6.12,highway,high,rainy,resurfacing,asphalt,1606,4353,1477,7436,10,Afcons Infra
,5830,pothole,2.67,15,0.0,highway,low,humid,patching,bitumen,1425,6152,1841,9418,4,JMC Projects
,5831,pothole,1.22,5,0.0,rural,medium,humid,cold_mix,bitumen,1300,4685,973,6958,2,Punj Lloyd
,5832,crack,0.7,0,3.78,urban,medium,rainy,full_depth_repair,asphalt,929,2917,400,4246,5,GR Infraprojects
,5833,pothole,1.88,2,0.0,urban,high,rainy,resurfacing,bitumen,1979,7462,2821,12262,6,Ashoka Buildcon
,5834,pothole,1.35,18,0.0,urban,medium,humid,cold_mix,gravel,709,2418,1448,4575,3,Gammon India
,5835,pothole,2.58,10,0.0,rural,medium,humid,cold_mix,concrete,2192,8100,1785,12077,4,GR Infraprojects
,5836,pothole,4.84,1,0.0,urban,medium,dry,full_depth_repair,bitumen,1907,7681,1763,11351,5,GMR Infra
,5837,pothole,2.92,14,0.0,highway,medium,dry,cold_mix,bitumen,1013,3550,797,5360,5,Gammon India
,5838,crack,4.46,0,0.69,urban,high,rainy,cold_mix,bitumen,293,937,325,1555,9,Sadbhav Engineering
,5839,crack,3.29,0,3.97,rural,low,rainy,full_depth_repair,gravel,602,1858,665,3125,9,Sadbhav Engineering
,5840,crack,2.43,0,4.93,rural,high,dry,cold_mix,asphalt,939,2472,1041,4452,4,Gammon India
,5841,crack,4.29,0,1.55,rural,high,rainy,resurfacing,asphalt,378,1299,300,1977,10,GMR Infra
,5842,pothole,2.41,3,0.0,rural,medium,dry,patching,asphalt,1969,5024,1137,8130,3,Afcons Infra
,5843,pothole,4.36,17,0.0,rural,very_high,rainy,cold_mix,bitumen,2447,9029,3425,14901,8,GMR Infra
,5844,crack,1.53,0,2.43,highway,low,dry,cold_mix,gravel,274,675,379,1328,2,IRB Infrastructure
,5845,pothole,0.73,19,0.0,highway,medium,rainy,patching,gravel,344,1338,420,2102,3,Sadbhav Engineering
,5846,pothole,4.29,11,0.0,urban,medium,rainy,cold_mix,gravel,2133,8142,1370,11645,7,Larsen & Toubro
,5847,crack,2.98,0,2.28,urban,high,dry,full_depth_repair,bitumen,476,1542,1002,3020,5,Ashoka Buildcon
,5848,pothole,4.46,20,0.0,highway,very_high,dry,resurfacing,asphalt,4251,10000,2884,17135,7,Ashoka Buildcon
,5849,crack,4.7,0,3.16,rural,medium,rainy,full_depth_repair,asphalt,812,3097,818,4727,11,Sadbhav Engineering
,5850,crack,0.36,0,4.32,highway,high,dry,patching,asphalt,1176,2793,1123,5092,2,GR Infraprojects
,5851,pothole,2.55,10,0.0,rural,very_high,rainy,full_depth_repair,bitumen,1408,4495,736,6639,8,Simplex Infra
,5852,pothole,1.94,12,0.0,urban,medium,humid,resurfacing,concrete,2021,7820,2513,12354,4,Gayatri Projects
,5853,crack,3.17,0,7.81,rural,medium,dry,cold_mix,concrete,1739,4152,1889,7780,3,GR Infraprojects
,5854,crack,3.99,0,2.89,rural,medium,dry,full_depth_repair,asphalt,550,1770,479,2799,6,NCC Limited
,5855,pothole,1.47,18,0.0,rural,high,dry,cold_mix,bitumen,2036,5191,1008,8235,3,Punj Lloyd
,5856,crack,2.83,0,4.45,highway,low,rainy,cold_mix,asphalt,1198,3855,513,5566,4,JMC Projects
,5857,crack,3.57,0,7.87,rural,high,dry,resurfacing,bitumen,1152,3643,1225,6020,6,HCC
,5858,crack,0.76,0,9.77,urban,high,dry,resurfacing,gravel,1076,3382,664,5122,4,Tata Projects
,5859,pothole,4.09,8,0.0,highway,high,dry,cold_mix,bitumen,2677,8124,4825,15626,4,Tata Projects
,5860,crack,3.07,0,8.64,rural,high,rainy,resurfacing,bitumen,1070,3117,1229,5416,8,GR Infraprojects
,5861,pothole,4.75,2,0.0,rural,high,rainy,cold_mix,asphalt,2616,10000,2834,15450,7,Shapoorji Pallonji
,5862,crack,1.76,0,0.89,rural,high,humid,cold_mix,asphalt,248,987,300,1535,5,Punj Lloyd
,5863,pothole,0.63,7,0.0,rural,medium,rainy,full_depth_repair,concrete,1086,3104,687,4877,5,Ramky Infra
,5864,crack,2.58,0,6.55,rural,medium,dry,cold_mix,bitumen,1035,2274,842,4151,3,Sadbhav Engineering
,5865,pothole,0.52,12,0.0,rural,low,dry,patching,bitumen,534,1531,300,2365,1,GR Infraprojects
,5866,pothole,4.85,12,0.0,highway,medium,humid,resurfacing,asphalt,3544,8144,2556,14244,6,Ashoka Buildcon
,5867,pothole,0.29,17,0.0,urban,medium,rainy,patching,asphalt,414,1237,393,2044,3,Ramky Infra
,5868,crack,3.79,0,0.79,rural,medium,rainy,patching,asphalt,200,500,300,1000,7,Gayatri Projects
,5869,crack,2.67,0,5.4,rural,high,dry,full_depth_repair,bitumen,781,2411,739,3931,7,Dilip Buildcon
,5870,crack,1.91,0,9.9,urban,low,dry,patching,asphalt,1036,3575,947,5558,3,Ashoka Buildcon
,5871,pothole,0.42,17,0.0,highway,high,rainy,resurfacing,asphalt,946,3887,1262,6095,5,Simplex Infra
,5872,crack,3.15,0,8.29,urban,high,humid,cold_mix,concrete,1970,5520,550,8040,6,Gayatri Projects
,5873,pothole,2.97,19,0.0,urban,very_high,dry,resurfacing,asphalt,1425,4902,1071,7398,7,Simplex Infra
,5874,crack,1.48,0,3.14,rural,medium,rainy,full_depth_repair,asphalt,1158,3078,527,4763,6,Gammon India
,5875,pothole,4.56,11,0.0,urban,low,dry,full_depth_repair,concrete,2919,8000,1074,11993,9,HCC
,5876,pothole,1.59,20,0.0,highway,high,humid,cold_mix,bitumen,1572,5736,1568,8876,3,GR Infraprojects
,5877,pothole,2.3,13,0.0,rural,medium,humid,patching,asphalt,1622,4232,790,6644,4,JMC Projects
,5878,crack,2.76,0,9.28,urban,high,dry,cold_mix,concrete,1915,4378,1788,8081,4,Simplex Infra
,5879,crack,0.59,0,3.89,highway,very_high,dry,patching,bitumen,799,2485,912,4196,3,Dilip Buildcon
,5880,crack,4.67,0,1.6,urban,low,dry,patching,concrete,404,1292,300,1996,3,Ramky Infra
,5881,pothole,1.94,10,0.0,rural,medium,dry,patching,concrete,1009,4066,811,5886,3,Megha Engineering
,5882,pothole,0.5,7,0.0,highway,low,rainy,patching,bitumen,335,1215,300,1850,3,Simplex Infra
,5883,crack,2.0,0,7.81,rural,high,rainy,patching,bitumen,1035,4064,1718,6817,5,Simplex Infra
,5884,crack,3.04,0,6.1,highway,low,dry,cold_mix,bitumen,931,3026,682,4639,4,Shapoorji Pallonji
,5885,crack,2.62,0,2.5,highway,low,dry,full_depth_repair,asphalt,409,1332,566,2307,6,Simplex Infra
,5886,pothole,3.5,8,0.0,highway,medium,rainy,full_depth_repair,gravel,2607,6656,1216,10479,9,Shapoorji Pallonji
,5887,pothole,0.37,19,0.0,urban,high,humid,full_depth_repair,asphalt,757,1988,1130,3875,5,KNR Constructions
,5888,pothole,1.49,6,0.0,rural,high,dry,cold_mix,asphalt,1311,3673,1838,6822,2,Punj Lloyd
,5889,pothole,4.11,8,0.0,highway,medium,rainy,resurfacing,bitumen,3873,10000,4500,18373,8,Ramky Infra
,5890,pothole,0.49,20,0.0,highway,low,dry,cold_mix,asphalt,676,1729,386,2791,1,Larsen & Toubro
,5891,crack,4.29,0,3.4,highway,medium,dry,full_depth_repair,concrete,1180,3890,1184,6254,6,Ramky Infra
,5892,pothole,0.55,20,0.0,highway,high,dry,resurfacing,asphalt,422,1342,830,2594,3,GR Infraprojects
,5893,pothole,4.19,9,0.0,highway,medium,dry,patching,asphalt,2532,9957,4145,16634,4,Sadbhav Engineering
,5894,pothole,1.87,5,0.0,urban,medium,dry,full_depth_repair,bitumen,1852,3933,1680,7465,5,Dilip Buildcon
,5895,pothole,3.1,6,0.0,urban,high,dry,full_depth_repair,bitumen,3147,10000,2760,15907,7,Sadbhav Engineering
,5896,pothole,0.85,19,0.0,urban,very_high,dry,patching,bitumen,827,2313,300,3440,3,Ashoka Buildcon
,5897,crack,0.42,0,5.15,urban,medium,dry,resurfacing,bitumen,861,2214,528,3603,2,Simplex Infra
,5898,pothole,1.16,5,0.0,urban,medium,dry,patching,bitumen,1872,4871,1283,8026,2,Shapoorji Pallonji
,5899,pothole,0.73,18,0.0,urban,medium,dry,patching,asphalt,731,2121,1233,4085,1,NCC Limited
,5900,pothole,1.63,6,0.0,urban,medium,rainy,cold_mix,concrete,3149,8827,1030,13006,5,Ashoka Buildcon
,5901,crack,2.62,0,5.27,highway,high,rainy,patching,bitumen,1469,3668,965,6102,5,NCC Limited
,5902,crack,2.98,0,9.28,urban,medium,humid,full_depth_repair,bitumen,1474,3095,1433,6002,7,Ramky Infra
,5903,crack,3.97,0,0.74,urban,high,dry,full_depth_repair,asphalt,297,1001,539,1837,6,NCC Limited
,5904,pothole,3.32,2,0.0,highway,medium,humid,full_depth_repair,concrete,4160,10000,5411,19571,7,Megha Engineering
,5905,crack,3.08,0,5.91,highway,medium,dry,resurfacing,bitumen,651,2143,1467,4261,6,JMC Projects
,5906,pothole,2.12,14,0.0,urban,high,dry,full_depth_repair,gravel,1080,3708,1296,6084,5,Larsen & Toubro
,5907,pothole,2.42,19,0.0,urban,medium,humid,patching,bitumen,1077,2677,1275,5029,4,Shapoorji Pallonji
,5908,crack,2.13,0,4.7,urban,medium,rainy,cold_mix,concrete,1282,4510,1378,7170,5,Punj Lloyd
,5909,pothole,4.23,4,0.0,urban,very_high,dry,full_depth_repair,asphalt,3279,10000,3748,17027,10,Gayatri Projects
,5910,pothole,1.23,7,0.0,urban,high,humid,resurfacing,bitumen,2268,6294,2131,10693,5,NCC Limited
,5911,pothole,0.13,13,0.0,rural,high,rainy,patching,bitumen,311,1173,365,1849,4,Megha Engineering
,5912,crack,3.29,0,9.97,highway,medium,humid,patching,concrete,2121,6770,2148,11039,5,Tata Projects
,5913,pothole,1.09,10,0.0,rural,medium,dry,resurfacing,bitumen,1139,3715,1106,5960,2,Tata Projects
,5914,pothole,4.46,4,0.0,rural,very_high,humid,cold_mix,concrete,3836,10000,4513,18349,9,Dilip Buildcon
,5915,crack,4.31,0,2.81,urban,medium,rainy,resurfacing,concrete,769,2548,798,4115,8,Simplex Infra
,5916,pothole,0.48,11,0.0,rural,high,rainy,cold_mix,bitumen,831,1966,1112,3909,4,Simplex Infra
,5917,pothole,0.62,19,0.0,rural,very_high,dry,resurfacing,gravel,245,834,324,1403,4,JMC Projects
,5918,crack,2.53,0,6.58,rural,high,dry,patching,concrete,1154,2854,1327,5335,4,Megha Engineering
,5919,pothole,3.09,3,0.0,highway,low,dry,full_depth_repair,bitumen,2976,8450,2451,13877,7,Afcons Infra
,5920,pothole,1.45,15,0.0,urban,high,rainy,full_depth_repair,bitumen,1788,6163,1173,9124,7,IRB Infrastructure
,5921,pothole,3.61,16,0.0,highway,high,rainy,cold_mix,concrete,3987,10000,4964,18951,7,Larsen & Toubro
,5922,pothole,3.02,14,0.0,highway,high,dry,patching,asphalt,4240,10000,3691,17931,5,GR Infraprojects
,5923,pothole,1.69,5,0.0,urban,high,rainy,full_depth_repair,gravel,1734,4668,1542,7944,8,IRB Infrastructure
,5924,crack,0.22,0,4.1,urban,medium,rainy,resurfacing,gravel,943,2499,950,4392,4,Punj Lloyd
,5925,crack,3.78,0,8.08,urban,medium,rainy,patching,bitumen,1248,4008,1131,6387,8,Punj Lloyd
,5926,crack,1.15,0,7.64,rural,medium,dry,patching,bitumen,930,3139,729,4798,1,Megha Engineering
,5927,crack,4.19,0,7.41,urban,low,dry,full_depth_repair,concrete,1195,4194,990,6379,8,NCC Limited
,5928,pothole,2.16,9,0.0,urban,high,rainy,resurfacing,gravel,1803,3920,1595,7318,6,Gammon India
,5929,pothole,2.93,14,0.0,highway,medium,humid,resurfacing,bitumen,1679,6437,1501,9617,5,Ramky Infra
,5930,pothole,4.38,20,0.0,urban,medium,rainy,full_depth_repair,gravel,2650,6765,4077,13492,10,Gammon India
,5931,pothole,4.33,20,0.0,urban,low,humid,resurfacing,bitumen,2304,8806,3491,14601,7,Larsen & Toubro
,5932,pothole,1.92,11,0.0,highway,low,dry,full_depth_repair,bitumen,1136,3161,1158,5455,4,Sadbhav Engineering
,5933,crack,1.12,0,5.23,highway,high,dry,cold_mix,asphalt,1087,4163,805,6055,3,Afcons Infra
,5934,crack,3.9,0,9.12,urban,high,dry,cold_mix,concrete,1619,5860,1383,8862,4,JMC Projects
,5935,pothole,2.22,5,0.0,urban,medium,rainy,patching,bitumen,1572,3542,1208,6322,5,Gayatri Projects
,5936,pothole,1.04,15,0.0,highway,high,dry,full_depth_repair,bitumen,1521,5391,2037,8949,5,Megha Engineering
,5937,pothole,4.53,12,0.0,highway,medium,dry,resurfacing,bitumen,2676,8585,3931,15192,8,Simplex Infra
,5938,crack,1.07,0,2.78,highway,high,dry,resurfacing,gravel,282,807,514,1603,3,Dilip Buildcon
,5939,pothole,0.23,11,0.0,urban,medium,dry,full_depth_repair,bitumen,670,2111,597,3378,3,Sadbhav Engineering
,5940,pothole,0.2,9,0.0,highway,medium,dry,patching,asphalt,584,2263,446,3293,1,Tata Projects
,5941,pothole,3.15,20,0.0,rural,medium,humid,full_depth_repair,bitumen,1384,5048,2695,9127,8,IRB Infrastructure
,5942,crack,3.34,0,0.5,highway,low,rainy,resurfacing,asphalt,375,1064,300,1739,7,HCC
,5943,pothole,1.62,3,0.0,rural,very_high,humid,full_depth_repair,concrete,1239,4131,2359,7729,8,Afcons Infra
,5944,crack,1.67,0,7.2,rural,very_high,dry,resurfacing,gravel,1257,3448,928,5633,5,Ashoka Buildcon
,5945,crack,1.76,0,3.75,urban,high,dry,resurfacing,bitumen,1190,3207,378,4775,4,GMR Infra
,5946,crack,3.43,0,2.23,urban,medium,humid,full_depth_repair,bitumen,390,1529,350,2269,7,GR Infraprojects
,5947,crack,0.38,0,5.42,rural,medium,humid,cold_mix,gravel,609,1533,797,2939,2,Sadbhav Engineering
,5948,crack,4.65,0,8.35,urban,high,humid,resurfacing,asphalt,1178,4712,993,6883,9,Ashoka Buildcon
,5949,crack,1.19,0,3.3,rural,medium,rainy,resurfacing,bitumen,699,2341,640,3680,5,Larsen & Toubro
,5950,pothole,5.0,15,0.0,urban,very_high,dry,patching,gravel,3471,7614,3286,14371,6,Simplex Infra
,5951,pothole,0.94,3,0.0,highway,medium,rainy,resurfacing,bitumen,356,1197,489,2042,5,Shapoorji Pallonji
,5952,pothole,3.88,19,0.0,urban,medium,rainy,full_depth_repair,bitumen,3753,10000,2329,16082,9,Larsen & Toubro
,5953,crack,1.19,0,3.63,highway,very_high,humid,cold_mix,concrete,1647,4554,2341,8542,5,Shapoorji Pallonji
,5954,pothole,0.5,17,0.0,highway,very_high,dry,resurfacing,bitumen,525,1482,779,2786,4,Ramky Infra
,5955,crack,4.39,0,7.02,urban,high,dry,cold_mix,bitumen,1091,3618,686,5395,5,KNR Constructions
,5956,crack,4.31,0,1.37,urban,medium,dry,patching,asphalt,355,1155,663,2173,5,KNR Constructions
,5957,crack,2.08,0,9.85,highway,high,dry,full_depth_repair,asphalt,1532,4335,2458,8325,5,GMR Infra
,5958,pothole,3.54,9,0.0,urban,medium,rainy,resurfacing,concrete,4121,10000,5313,19434,8,KNR Constructions
,5959,crack,2.83,0,5.06,urban,medium,humid,cold_mix,bitumen,861,2615,652,4128,3,Simplex Infra
,5960,crack,4.28,0,3.88,urban,medium,dry,resurfacing,bitumen,734,1906,803,3443,7,Shapoorji Pallonji
,5961,pothole,1.64,6,0.0,rural,high,dry,cold_mix,asphalt,1164,3207,2030,6401,3,Gammon India
,5962,pothole,2.67,12,0.0,urban,low,dry,patching,bitumen,1197,4454,1667,7318,2,Simplex Infra
,5963,crack,2.48,0,2.52,highway,medium,rainy,cold_mix,asphalt,812,2532,338,3682,4,Punj Lloyd
,5964,crack,1.83,0,2.93,highway,high,rainy,resurfacing,asphalt,724,2106,709,3539,6,Afcons Infra
,5965,pothole,4.47,4,0.0,highway,medium,rainy,full_depth_repair,bitumen,4878,10000,2591,17469,10,Larsen & Toubro
,5966,pothole,0.91,9,0.0,urban,medium,dry,cold_mix,bitumen,656,1701,423,2780,1,Ashoka Buildcon
,5967,pothole,0.83,14,0.0,highway,low,humid,cold_mix,concrete,388,1615,306,2309,2,GMR Infra
,5968,crack,2.93,0,6.0,rural,high,dry,full_depth_repair,asphalt,755,2252,1253,4260,7,Afcons Infra
,5969,pothole,3.32,5,0.0,highway,medium,dry,resurfacing,bitumen,3217,10000,2350,15567,4,Tata Projects
,5970,pothole,1.05,19,0.0,rural,high,humid,cold_mix,bitumen,624,2231,890,3745,4,GMR Infra
,5971,pothole,2.01,2,0.0,urban,medium,humid,patching,bitumen,1884,4313,1653,7850,4,Afcons Infra
,5972,crack,4.74,0,3.64,highway,low,humid,resurfacing,asphalt,960,3142,580,4682,7,NCC Limited
,5973,pothole,1.31,11,0.0,rural,medium,dry,cold_mix,bitumen,537,1906,905,3348,2,Shapoorji Pallonji
,5974,pothole,3.37,2,0.0,highway,low,humid,patching,gravel,2612,8323,1594,12529,4,NCC Limited
,5975,pothole,3.73,1,0.0,urban,low,dry,patching,asphalt,3114,8735,2661,14510,6,NCC Limited
,5976,pothole,2.3,3,0.0,highway,medium,dry,full_depth_repair,bitumen,1135,2568,901,4604,4,HCC
,5977,pothole,4.69,12,0.0,urban,high,humid,resurfacing,bitumen,2202,7100,3397,12699,10,GR Infraprojects
